z_index,solver_z,stella_z,z_error,solver_B,stella_bmag,B_error,solver_F,stella_b_dot_gradz_over_2pi,F_error,solver_kperp2,stella_kperp2,kperp2_error,solver_D_y,stella_B_times_gradB_dot_grady,stella_B_times_kappa_dot_grady,stella_B_times_drift_y_sum,phi_abs
21,-0.41796875,-0.41796875,0.0,0.9194,0.9193932463081675,-6.75369183245067e-06,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.24686999999999998,0.24684076521138865,-2.9234788611331997e-05,0.16592,0.051521866605888735,0.11442425069500312,0.16594611730089184,6.523749065298899e-11
22,-0.4140625,-0.4140625,0.0,0.9551,0.9551056043290236,5.604329023634058e-06,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.22760999999999998,0.22763677680884292,2.67768088429432e-05,-0.20049,-0.12938240945442586,-0.07109284535770748,-0.20047525481213335,6.179927831136417e-11
23,-0.41015625,-0.41015625000000006,-5.551115123125783e-17,1.081,1.0810178699293107,1.786992931074316e-05,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.40058999999999995,0.40055221363326765,-3.7786366732295296e-05,-0.47930000000000006,-0.2623998174487109,-0.21690357731727283,-0.4793033947659837,5.015882130792429e-11
24,-0.40625,-0.40625000000000006,-5.551115123125783e-17,1.213,1.212907466808841,-9.253319115898329e-05,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,1.0341,1.0344658236308795,0.00036582363087944714,-0.5266,-0.2813667462787323,-0.24522561396750603,-0.5265923602462383,3.164949924410684e-11
25,-0.40234375,-0.40234375,0.0,1.283,1.2825569407331905,-0.0004430592668094313,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,1.7406,1.7406100995834894,1.0099583489520114e-05,-0.22086,-0.12659571134080558,-0.0942643201309178,-0.2208600314717234,2.9710062001462e-11
26,-0.3984375,-0.3984375,0.0,1.196,1.1955981177087562,-0.0004018822912437159,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,1.2042,1.2043939790916949,0.0001939790916949402,-0.019450000000000002,-0.028322976419850134,0.00887040843473466,-0.019452567985115472,3.1930666113016113e-11
27,-0.39453125,-0.39453125,0.0,1.07,1.069566559110231,-0.0004334408897690434,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.63819,0.6382233882290598,3.3388229059738705e-05,0.15635,0.05494944433803263,0.10143122367409484,0.15638066801212747,3.300743273623137e-11
28,-0.390625,-0.390625,0.0,0.9534,0.953429638382516,2.963838251601736e-05,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.32228999999999997,0.3222589256283847,-3.107437161525839e-05,0.09970000000000001,0.020601679017312816,0.07910132124794697,0.09970300026525979,2.8916222797197534e-11
29,-0.38671875,-0.38671875000000006,-5.551115123125783e-17,0.9206,0.9206110169776947,1.1016977694677799e-05,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.26091,0.26094039271087155,3.0392710871574025e-05,-0.024380000000000002,-0.04356030867668237,0.019175911982277125,-0.024384396694405244,2.8643674060139525e-11
30,-0.3828125,-0.3828125,0.0,0.9912,0.9912223066291473,2.2306629147372803e-05,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.24650999999999998,0.24647793009785682,-3.206990214316141e-05,-0.16707,-0.11058212363751614,-0.056469328927202606,-0.16705145256471876,3.629680254525506e-11
31,-0.37890625,-0.37890625,0.0,1.112,1.1123367244653726,0.00033672446537247325,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.17028,0.17032145257724549,4.145257724549878e-05,-0.37539999999999996,-0.20918944572903433,-0.16621288164377127,-0.3754023273728056,5.550199938440958e-11
32,-0.375,-0.375,0.0,1.222,1.2224103771885602,0.0004103771885601848,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.10359,0.10357882441283414,-1.1175587165859757e-05,-0.3896,-0.2125579335680149,-0.1769713862939026,-0.3895293198619175,7.696128406513416e-11
