case,ky,z_index,z,theta,phi,B,F,G,E_y,D_x,D_y,g_xx,g_xy,g_yy,kperp2,bessel_j0_rms_over_mu,gamma0_mean_over_species,magnetic_drift_frequency_rms_over_velocity,maxwellian_mean_over_velocity,drive_factor_mean_over_velocity,field_denominator_real,field_denominator_imag,ion_polarization_real,electron_response
gkw_fd_16x8,0.3,188,0.234375,1.4726215563702154,10.23,1.17,0.0019607888988921506,0.057094066419924414,-0.1911,0.0672,-0.3434,2.178,-0.8585,0.9666,0.086994,0.9817717940678286,0.9689689132754564,0.23748935849330033,0.037183261805757005,3.9806640625000003,-1.0310310867245436,0.0,-0.031031086724543577,1.0
gkw_fd_16x8,0.3,189,0.23828125,1.4971652489763858,10.4,1.036,0.0019607888988921506,0.06268362697880109,-0.1433,0.07748,-0.23708,0.9835,-0.4028,1.257,0.11312999999999998,0.9734259754233503,0.9493213812307197,0.15912906745044564,0.03933453038085033,3.5802343750000007,-1.0506786187692803,0.0,-0.05067861876928026,1.0
gkw_fd_16x8,0.3,190,0.2421875,1.521708941582556,10.59,0.937,0.0019607888988921506,0.029315029350742313,-0.04468,0.02375,-0.0288,0.7196,-0.6847,1.872,0.16848,0.9568944859047553,0.9106027812302924,0.018905605319345695,0.0411501560869117,3.2843945312499994,-1.0893972187697076,0.0,-0.08939721876970763,1.0
gkw_fd_16x8,0.3,191,0.24609375,1.5462526341887264,10.78,0.9318,0.0019607888988921506,-0.022176246691176234,0.01157,-0.03335,0.08437,0.7188,-0.8057,2.111,0.18999000000000002,0.9513703855603652,0.8990476899893527,0.05531944465845372,0.041251565196436926,3.26885546875,-1.1009523100106473,0.0,-0.1009523100106473,1.0
gkw_fd_16x8,0.3,192,0.25,1.5707963267948966,10.97,1.016,0.0019607888988921506,-0.059431962394242505,0.01708,-0.05515,0.08572,0.5933,-0.8391,2.925,0.26325,0.9389287277637292,0.8838647098919272,0.0572782243936967,0.03968450959522578,3.5204687499999996,-1.1161352901080728,0.0,-0.11613529010807278,1.0
gkw_fd_16x8,0.3,193,0.25390625,1.5953400194010667,11.15,1.142,0.0019607888988921506,-0.052221603097209544,-0.03523,-0.06859,-0.029678999999999997,0.7911,-1.782,5.662,0.5095799999999999,0.8989926550299945,0.8304004874895745,0.020398014179061272,0.03760676646171114,3.8969921875,-1.1695995125104255,0.0,-0.1695995125104255,1.0
gkw_fd_16x8,0.3,194,0.2578125,1.6198837120072371,11.32,1.241,0.0019607888988921506,-0.02753732662509428,-0.04445,-0.06518,-0.054398,1.558,-3.738,9.959,0.8963099999999999,0.8461329483657108,0.7634283613379248,0.03821754468580088,0.03616465223224827,4.192832031250001,-1.2365716386620753,0.0,-0.2365716386620752,1.0
gkw_fd_16x8,0.3,195,0.26171875,1.6444274046134073,11.48,1.244,0.0019607888988921506,0.02728021778823038,-0.1676,-0.02292,-0.3008,2.4,-4.753,10.06,0.9054,0.8451387108642039,0.7624262447264624,0.211468526685003,0.03612326821083684,4.201796874999999,-1.2375737552735377,0.0,-0.23757375527353763,1.0
gkw_fd_16x8,0.3,196,0.265625,1.6689710972195777,11.64,1.137,0.0019607888988921506,0.055820989950380887,-0.1939,0.001701,-0.3467,2.272,-3.271,5.277,0.47493,0.9048590691329189,0.8392307401582678,0.23801748464608627,0.03768376163400862,3.8820507812499994,-1.1607692598417323,0.0,-0.16076925984173218,1.0
gkw_fd_16x8,0.3,197,0.26953125,1.6935147898257479,11.81,1.008,0.0019607888988921506,0.061315721897928256,-0.1958,0.07567,-0.3393,1.543,-1.405,1.939,0.17451,0.9584374563229134,0.9194011958800357,0.22631420430651514,0.03982679210249047,3.4965625,-1.0805988041199643,0.0,-0.08059880411996434,1.0
gkw_fd_16x8,0.3,198,0.2734375,1.718058482431918,12.0,0.9291,0.0019607888988921506,0.010321749077109928,-0.05291,0.06898,-0.044218999999999994,1.022,-0.608,1.206,0.10854,0.9716165609076031,0.9399948478879628,0.028975750699451998,0.041304472252510355,3.260787109374999,-1.060005152112037,0.0,-0.06000515211203716,1.0
gkw_fd_16x8,0.3,199,0.27734375,1.7426021750380885,12.18,0.9594,0.0019607888988921506,-0.03357651032133258,0.03599,-0.03678,0.12974,1.004,-0.5071,1.173,0.10557,0.9732266358964419,0.9450428109952309,0.08559740090405439,0.04072050725384681,3.3513320312499992,-1.054957189004769,0.0,-0.05495718900476909,1.0
gkw_fd_16x8,0.3,200,0.28125,1.7671458676442586,12.36,1.042,0.0019607888988921506,-0.046504277864132346,0.05637,-0.06481,0.16167,1.127,-0.1905,0.9964,0.08967599999999999,0.9789537623891377,0.9599539475450201,0.10865952716566589,0.03923110259259074,3.5981640625,-1.04004605245498,0.0,-0.04004605245497994,1.0
